date,amfi_code,nav,daily_return_pct
2022-01-03,100016,520.4608,
2022-01-04,100016,515.0971,-1.0306
2022-01-05,100016,521.7239,1.2865
2022-01-06,100016,515.788,-1.1377
2022-01-07,100016,515.1639,-0.121
2022-01-10,100016,510.7136,-0.8639
2022-01-11,100016,513.5542,0.5562
2022-01-12,100016,512.3195,-0.2404
2022-01-13,100016,510.2445,-0.405
2022-01-14,100016,514.3636,0.8073
2022-01-17,100016,514.7627,0.0776
2022-01-18,100016,517.3803,0.5085
2022-01-19,100016,513.1866,-0.8106
2022-01-20,100016,507.1294,-1.1803
2022-01-21,100016,507.871,0.1462
2022-01-24,100016,506.7062,-0.2293
2022-01-25,100016,509.7762,0.6059
2022-01-26,100016,509.68,-0.0189
2022-01-27,100016,510.8661,0.2327
2022-01-28,100016,503.8641,-1.3706
2022-01-31,100016,512.5903,1.7319
2022-02-01,100016,512.1124,-0.0932
2022-02-02,100016,515.5386,0.669
2022-02-03,100016,512.0153,-0.6834
2022-02-04,100016,513.6729,0.3237
2022-02-07,100016,508.0666,-1.0914
2022-02-08,100016,510.3595,0.4513
2022-02-09,100016,509.0223,-0.262
2022-02-10,100016,509.4161,0.0774
2022-02-11,100016,512.826,0.6694
2022-02-14,100016,507.5435,-1.0301
2022-02-15,100016,504.7492,-0.5506
2022-02-16,100016,507.0506,0.4559
2022-02-17,100016,516.7872,1.9202
2022-02-18,100016,516.4246,-0.0702
2022-02-21,100016,519.3918,0.5746
2022-02-22,100016,519.1698,-0.0427
2022-02-23,100016,528.4118,1.7801
2022-02-24,100016,520.6004,-1.4783
2022-02-25,100016,521.3038,0.1351
2022-02-28,100016,514.1489,-1.3725
2022-03-01,100016,503.1674,-2.1359
2022-03-02,100016,504.7495,0.3144
2022-03-03,100016,505.6316,0.1748
2022-03-04,100016,504.6233,-0.1994
2022-03-07,100016,504.411,-0.0421
2022-03-08,100016,518.6513,2.8232
2022-03-09,100016,517.7387,-0.176
2022-03-10,100016,520.3416,0.5027
2022-03-11,100016,517.6372,-0.5197
2022-03-14,100016,519.2545,0.3124
2022-03-15,100016,518.432,-0.1584
2022-03-16,100016,516.825,-0.31
2022-03-17,100016,525.4534,1.6695
2022-03-18,100016,531.2109,1.0957
2022-03-21,100016,532.1264,0.1723
2022-03-22,100016,521.6911,-1.9611
2022-03-23,100016,520.3011,-0.2664
2022-03-24,100016,533.1283,2.4653
2022-03-25,100016,532.3194,-0.1517
2022-03-28,100016,537.8012,1.0298
2022-03-29,100016,544.965,1.3321
2022-03-30,100016,546.3002,0.245
2022-03-31,100016,542.5392,-0.6884
2022-04-01,100016,531.285,-2.0744
2022-04-04,100016,534.7762,0.6571
2022-04-05,100016,531.2213,-0.6647
2022-04-06,100016,532.3217,0.2071
2022-04-07,100016,526.7582,-1.0451
2022-04-08,100016,525.7986,-0.1822
2022-04-11,100016,526.2264,0.0814
2022-04-12,100016,527.7466,0.2889
2022-04-13,100016,522.8529,-0.9273
2022-04-14,100016,528.6739,1.1133
2022-04-15,100016,526.1696,-0.4737
2022-04-18,100016,518.7241,-1.415
2022-04-19,100016,518.493,-0.0446
2022-04-20,100016,518.9178,0.0819
2022-04-21,100016,519.9214,0.1934
2022-04-22,100016,526.4763,1.2607
2022-04-25,100016,525.6507,-0.1568
2022-04-26,100016,525.3674,-0.0539
2022-04-27,100016,520.5493,-0.9171
2022-04-28,100016,524.6005,0.7783
2022-04-29,100016,525.7251,0.2144
2022-05-02,100016,524.0515,-0.3183
2022-05-03,100016,515.5881,-1.615
2022-05-04,100016,522.4674,1.3343
2022-05-05,100016,517.1078,-1.0258
2022-05-06,100016,514.6837,-0.4688
2022-05-09,100016,516.5793,0.3683
2022-05-10,100016,511.4204,-0.9987
2022-05-11,100016,504.9889,-1.2576
2022-05-12,100016,495.8735,-1.8051
2022-05-13,100016,499.2941,0.6898
2022-05-16,100016,497.1556,-0.4283
2022-05-17,100016,510.4206,2.6682
2022-05-18,100016,506.2251,-0.822
2022-05-19,100016,502.3871,-0.7582
2022-05-20,100016,500.1462,-0.4461
2022-05-23,100016,501.4785,0.2664
2022-05-24,100016,499.6609,-0.3624
2022-05-25,100016,502.6257,0.5934
2022-05-26,100016,498.5637,-0.8082
2022-05-27,100016,492.78,-1.1601
2022-05-30,100016,485.277,-1.5226
2022-05-31,100016,476.0989,-1.8913
2022-06-01,100016,474.1732,-0.4045
2022-06-02,100016,473.1602,-0.2136
2022-06-03,100016,470.7754,-0.504
2022-06-06,100016,476.2119,1.1548
2022-06-07,100016,481.6458,1.1411
2022-06-08,100016,480.4735,-0.2434
2022-06-09,100016,473.1759,-1.5188
2022-06-10,100016,471.0598,-0.4472
2022-06-13,100016,468.8163,-0.4763
2022-06-14,100016,466.3477,-0.5266
2022-06-15,100016,463.7261,-0.5622
2022-06-16,100016,461.2993,-0.5233
2022-06-17,100016,459.9666,-0.2889
2022-06-20,100016,457.6317,-0.5076
2022-06-21,100016,458.7099,0.2356
2022-06-22,100016,460.4075,0.3701
2022-06-23,100016,456.9604,-0.7487
2022-06-24,100016,462.3501,1.1795
2022-06-27,100016,458.6076,-0.8095
2022-06-28,100016,452.344,-1.3658
2022-06-29,100016,454.0998,0.3882
2022-06-30,100016,451.0707,-0.6671
2022-07-01,100016,452.584,0.3355
2022-07-04,100016,443.3196,-2.047
2022-07-05,100016,449.0289,1.2879
2022-07-06,100016,451.9322,0.6466
2022-07-07,100016,446.2213,-1.2637
2022-07-08,100016,440.6669,-1.2448
2022-07-11,100016,447.4448,1.5381
2022-07-12,100016,444.7739,-0.5969
2022-07-13,100016,441.7416,-0.6818
2022-07-14,100016,433.2246,-1.9281
2022-07-15,100016,432.1093,-0.2574
2022-07-18,100016,431.4649,-0.1491
2022-07-19,100016,434.4201,0.6849
2022-07-20,100016,429.3142,-1.1753
2022-07-21,100016,423.8151,-1.2809
2022-07-22,100016,425.7236,0.4503
2022-07-25,100016,429.7419,0.9439
2022-07-26,100016,424.047,-1.3252
2022-07-27,100016,428.3319,1.0105
2022-07-28,100016,428.6948,0.0847
2022-07-29,100016,433.0659,1.0196
2022-08-01,100016,433.0211,-0.0103
2022-08-02,100016,423.7137,-2.1494
2022-08-03,100016,423.3646,-0.0824
2022-08-04,100016,427.5619,0.9914
2022-08-05,100016,424.424,-0.7339
2022-08-08,100016,423.1925,-0.2902
2022-08-09,100016,422.7537,-0.1037
2022-08-10,100016,412.293,-2.4744
2022-08-11,100016,418.6311,1.5373
2022-08-12,100016,415.5307,-0.7406
2022-08-15,100016,417.6036,0.4989
2022-08-16,100016,417.4997,-0.0249
2022-08-17,100016,422.3739,1.1675
2022-08-18,100016,424.1079,0.4105
2022-08-19,100016,423.4485,-0.1555
2022-08-22,100016,420.3416,-0.7337
2022-08-23,100016,423.5281,0.7581
2022-08-24,100016,416.803,-1.5879
2022-08-25,100016,419.4003,0.6231
2022-08-26,100016,415.5691,-0.9135
2022-08-29,100016,420.401,1.1627
2022-08-30,100016,421.2166,0.194
2022-08-31,100016,423.8348,0.6216
2022-09-01,100016,424.3603,0.124
2022-09-02,100016,418.068,-1.4828
2022-09-05,100016,415.1206,-0.705
2022-09-06,100016,417.805,0.6467
2022-09-07,100016,418.6355,0.1988
2022-09-08,100016,423.2368,1.0991
2022-09-09,100016,424.9639,0.4081
2022-09-12,100016,421.5737,-0.7978
2022-09-13,100016,418.8403,-0.6484
2022-09-14,100016,419.437,0.1425
2022-09-15,100016,411.1759,-1.9696
2022-09-16,100016,417.5046,1.5392
2022-09-19,100016,419.3505,0.4421
2022-09-20,100016,424.1319,1.1402
2022-09-21,100016,418.4765,-1.3334
2022-09-22,100016,423.3133,1.1558
2022-09-23,100016,431.9494,2.0401
2022-09-26,100016,427.1671,-1.1071
2022-09-27,100016,430.305,0.7346
2022-09-28,100016,430.5313,0.0526
2022-09-29,100016,424.9261,-1.3019
2022-09-30,100016,426.9974,0.4874
2022-10-03,100016,430.3701,0.7899
2022-10-04,100016,428.3154,-0.4774
2022-10-05,100016,432.9656,1.0857
2022-10-06,100016,426.8679,-1.4084
2022-10-07,100016,421.495,-1.2587
2022-10-10,100016,422.2208,0.1722
2022-10-11,100016,422.5333,0.074
2022-10-12,100016,420.0881,-0.5787
2022-10-13,100016,423.3166,0.7685
2022-10-14,100016,425.5227,0.5211
2022-10-17,100016,428.9765,0.8117
2022-10-18,100016,428.7321,-0.057
2022-10-19,100016,431.2389,0.5847
2022-10-20,100016,429.769,-0.3409
2022-10-21,100016,437.8501,1.8803
2022-10-24,100016,434.9481,-0.6628
2022-10-25,100016,443.3278,1.9266
2022-10-26,100016,443.6931,0.0824
2022-10-27,100016,438.5694,-1.1548
2022-10-28,100016,444.122,1.2661
2022-10-31,100016,444.8448,0.1627
2022-11-01,100016,448.4277,0.8054
2022-11-02,100016,453.5279,1.1374
2022-11-03,100016,455.1164,0.3503
2022-11-04,100016,452.9791,-0.4696
2022-11-07,100016,457.1295,0.9162
2022-11-08,100016,457.3685,0.0523
2022-11-09,100016,460.3808,0.6586
2022-11-10,100016,451.9519,-1.8309
2022-11-11,100016,453.9711,0.4468
2022-11-14,100016,451.6546,-0.5103
2022-11-15,100016,458.5248,1.5211
2022-11-16,100016,461.2893,0.6029
2022-11-17,100016,462.5046,0.2635
2022-11-18,100016,464.7322,0.4816
2022-11-21,100016,460.8957,-0.8255
2022-11-22,100016,467.7825,1.4942
2022-11-23,100016,476.316,1.8242
2022-11-24,100016,478.216,0.3989
2022-11-25,100016,485.221,1.4648
2022-11-28,100016,483.0407,-0.4493
2022-11-29,100016,479.9044,-0.6493
2022-11-30,100016,480.3253,0.0877
2022-12-01,100016,482.4201,0.4361
2022-12-02,100016,480.9949,-0.2954
2022-12-05,100016,483.5309,0.5272
2022-12-06,100016,485.0894,0.3223
2022-12-07,100016,481.0854,-0.8254
2022-12-08,100016,483.5409,0.5104
2022-12-09,100016,487.4889,0.8165
2022-12-12,100016,488.4785,0.203
2022-12-13,100016,493.7241,1.0739
2022-12-14,100016,488.7036,-1.0169
2022-12-15,100016,490.9778,0.4654
2022-12-16,100016,486.1873,-0.9757
2022-12-19,100016,481.6822,-0.9266
2022-12-20,100016,479.2566,-0.5036
2022-12-21,100016,475.5366,-0.7762
2022-12-22,100016,473.4881,-0.4308
2022-12-23,100016,472.8386,-0.1372
2022-12-26,100016,476.5883,0.793
2022-12-27,100016,475.4855,-0.2314
2022-12-28,100016,469.1246,-1.3378
2022-12-29,100016,474.1097,1.0626
2022-12-30,100016,470.8654,-0.6843
2023-01-02,100016,470.8644,-0.0002
2023-01-03,100016,472.9663,0.4464
2023-01-04,100016,474.0441,0.2279
2023-01-05,100016,478.8877,1.0218
2023-01-06,100016,481.1631,0.4751
2023-01-09,100016,477.7684,-0.7055
2023-01-10,100016,487.2879,1.9925
2023-01-11,100016,488.3757,0.2232
2023-01-12,100016,487.9931,-0.0783
2023-01-13,100016,492.4132,0.9058
2023-01-16,100016,493.7523,0.2719
2023-01-17,100016,495.7495,0.4045
2023-01-18,100016,507.0277,2.275
2023-01-19,100016,506.06,-0.1909
2023-01-20,100016,504.9042,-0.2284
2023-01-23,100016,505.6844,0.1545
2023-01-24,100016,510.7491,1.0016
2023-01-25,100016,504.268,-1.2689
2023-01-26,100016,495.8578,-1.6678
2023-01-27,100016,493.5515,-0.4651
2023-01-30,100016,486.7415,-1.3798
2023-01-31,100016,485.1715,-0.3226
2023-02-01,100016,487.5779,0.496
2023-02-02,100016,484.0122,-0.7313
2023-02-03,100016,478.2065,-1.1995
2023-02-06,100016,478.7459,0.1128
2023-02-07,100016,482.6505,0.8156
2023-02-08,100016,475.7347,-1.4329
2023-02-09,100016,479.4358,0.778
2023-02-10,100016,483.1532,0.7754
