amfi_code,hhi,concentration,n_sectors,top_sector,top_sector_wt_pct,scheme_name,sub_category
119092,0.2968,Concentrated,7,IT,48.69,Axis Bluechip Fund - Regular - Growth,Large Cap
148569,0.2551,Concentrated,7,Banking,39.83,Mirae Asset Tax Saver Fund - Regular - Growth,ELSS
125498,0.2532,Concentrated,6,Banking,41.2,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Mid Cap
102887,0.2513,Concentrated,6,Pharma,39.04,UTI Flexi Cap Fund - Regular - Growth,Flexi Cap
149323,0.2411,Moderate,7,Pharma,41.34,DSP Midcap Fund - Regular - Growth,Mid Cap
120505,0.2386,Moderate,7,Pharma,40.74,ICICI Pru Midcap Fund - Regular - Growth,Mid Cap
118635,0.2375,Moderate,6,IT,39.35,Nippon India ETF Nifty 50 BeES,Index/ETF
119599,0.2324,Moderate,7,Banking,34.08,SBI Small Cap Fund - Direct Plan - Growth,Small Cap
120506,0.2314,Moderate,7,Banking,30.39,ICICI Pru Value Discovery Fund - Regular - Growth,Value
100033,0.2276,Moderate,7,Banking,35.97,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Mid Cap
119552,0.2275,Moderate,7,Automobile,32.48,SBI Bluechip Fund - Direct Plan - Growth,Large Cap
101207,0.2228,Moderate,6,Pharma,35.07,ABSL Small Cap Fund - Regular - Growth,Small Cap
120504,0.2212,Moderate,8,Banking,35.61,ICICI Pru Bluechip Fund - Direct - Growth,Large Cap
118633,0.2212,Moderate,7,Banking,34.18,Nippon India Large Cap Fund - Direct - Growth,Large Cap
148568,0.2181,Moderate,6,Banking,33.8,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Large & Mid Cap
120841,0.2158,Moderate,7,Pharma,27.46,Kotak Bluechip Fund - Regular - Growth,Large Cap
118632,0.2072,Moderate,6,Telecom,30.43,Nippon India Large Cap Fund - Regular - Growth,Large Cap
148567,0.2013,Moderate,6,Banking,30.78,Mirae Asset Large Cap Fund - Regular - Growth,Large Cap
149324,0.1887,Moderate,9,Pharma,32.52,DSP Small Cap Fund - Regular - Growth,Small Cap
119598,0.1881,Moderate,7,IT,31.84,SBI Small Cap Fund - Regular Plan - Growth,Small Cap
119093,0.1842,Moderate,8,IT,26.67,Axis Bluechip Fund - Direct - Growth,Large Cap
149322,0.1827,Moderate,7,Banking,28.64,DSP Top 100 Equity Fund - Regular - Growth,Large Cap
120503,0.1822,Moderate,7,FMCG,30.67,ICICI Pru Bluechip Fund - Regular - Growth,Large Cap
102885,0.1807,Moderate,8,Utilities,28.95,UTI Nifty 50 Index Fund - Regular - Growth,Index
100016,0.1806,Moderate,8,IT,25.9,HDFC Top 100 Fund - Regular Plan - Growth,Large Cap
101206,0.18,Moderate,7,Banking,25.09,ABSL Frontline Equity Fund - Regular - Growth,Large Cap
119094,0.1751,Moderate,6,FMCG,23.17,Axis Midcap Fund - Regular - Growth,Mid Cap
125497,0.1724,Moderate,7,IT,26.92,HDFC Top 100 Fund - Direct Plan - Growth,Large Cap
120842,0.1621,Moderate,8,Automobile,26.66,Kotak Emerging Equity Fund - Regular - Growth,Mid Cap
118634,0.1603,Moderate,8,FMCG,25.23,Nippon India Small Cap Fund - Regular - Growth,Small Cap
119095,0.1596,Moderate,8,IT,24.25,Axis Small Cap Fund - Regular - Growth,Small Cap
119551,0.1425,Diversified,8,Utilities,21.33,SBI Bluechip Fund - Regular Plan - Growth,Large Cap
120843,0.1362,Diversified,9,Utilities,19.94,Kotak Flexicap Fund - Regular - Growth,Flexi Cap
102886,0.1241,Diversified,10,Consumer Goods,18.99,UTI Mid Cap Fund - Regular - Growth,Mid Cap
