investor_id,n_sip,avg_gap_days,max_gap_days,total_sip_amt,avg_sip_amt,continuity_status
INV000004,3,60.0,60,30904,10301.33,regular
INV000005,2,274.0,274,49443,24721.5,at-risk
INV000006,4,214.3,491,21018,5254.5,at-risk
INV000007,2,55.0,55,63395,31697.5,regular
INV000008,2,539.0,539,3231,1615.5,at-risk
INV000010,5,172.2,297,23719,4743.8,at-risk
INV000011,4,82.7,154,84720,21180.0,regular
INV000012,3,151.5,160,26127,8709.0,at-risk
INV000014,3,332.0,478,61058,20352.67,at-risk
INV000021,2,183.0,183,68447,34223.5,at-risk
INV000023,6,73.2,173,129740,21623.33,regular
INV000024,2,333.0,333,8017,4008.5,at-risk
INV000029,4,159.7,297,26268,6567.0,at-risk
INV000030,2,212.0,212,2798,1399.0,at-risk
INV000032,3,197.5,314,20284,6761.33,at-risk
INV000033,5,134.8,391,41932,8386.4,at-risk
INV000035,2,144.0,144,1710,855.0,at-risk
INV000038,2,153.0,153,50685,25342.5,at-risk
INV000039,2,209.0,209,29860,14930.0,at-risk
INV000040,2,30.0,30,15863,7931.5,regular
INV000045,4,120.0,212,89334,22333.5,at-risk
INV000048,4,139.3,174,13587,3396.75,at-risk
INV000050,2,55.0,55,23732,11866.0,regular
INV000055,4,110.7,150,46309,11577.25,at-risk
INV000056,2,85.0,85,35337,17668.5,regular
INV000058,4,34.0,57,14283,3570.75,regular
INV000062,3,229.5,452,70741,23580.33,at-risk
INV000065,2,425.0,425,104014,52007.0,at-risk
INV000069,5,67.2,182,123136,24627.2,regular
INV000073,3,319.0,451,22302,7434.0,at-risk
INV000074,3,180.5,275,47366,15788.67,at-risk
INV000075,3,319.5,342,27728,9242.67,at-risk
INV000076,3,245.0,336,26571,8857.0,at-risk
INV000081,3,214.5,426,35181,11727.0,at-risk
INV000082,4,193.7,243,15336,3834.0,at-risk
INV000084,3,35.5,66,18924,6308.0,regular
INV000085,3,257.5,335,30465,10155.0,at-risk
INV000086,6,49.2,94,59784,9964.0,regular
INV000087,3,164.0,299,58733,19577.67,at-risk
INV000089,2,178.0,178,13064,6532.0,at-risk
INV000091,5,59.8,91,31557,6311.4,regular
INV000092,2,31.0,31,951,475.5,regular
INV000093,2,62.0,62,54653,27326.5,regular
INV000094,3,46.5,56,6092,2030.67,regular
INV000095,2,23.0,23,29836,14918.0,regular
