amfi_code,var_95_pct,cvar_95_pct,vol_ann_pct,worst_day_pct,best_day_pct,scheme_name,category,risk_category
119599,-2.6859,-3.2384,24.9501,-4.5429,5.332,SBI Small Cap Fund - Direct Plan - Growth,Equity,Very High
119095,-2.6189,-3.1667,25.0666,-4.8367,4.311,Axis Small Cap Fund - Regular - Growth,Equity,Very High
101207,-2.6021,-3.2459,25.7973,-5.1847,5.4851,ABSL Small Cap Fund - Regular - Growth,Equity,Very High
118634,-2.5438,-3.2304,25.2415,-5.8102,5.9304,Nippon India Small Cap Fund - Regular - Growth,Equity,Very High
119598,-2.4507,-3.0595,25.1406,-4.518,6.4713,SBI Small Cap Fund - Regular Plan - Growth,Equity,Very High
149324,-2.3483,-3.1036,24.8402,-4.887,4.849,DSP Small Cap Fund - Regular - Growth,Equity,Very High
102886,-1.922,-2.3251,18.1346,-3.6695,4.0745,UTI Mid Cap Fund - Regular - Growth,Equity,High
100033,-1.9033,-2.3456,18.9367,-4.4238,4.1954,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,High
120505,-1.8892,-2.4342,19.2909,-3.8418,4.0812,ICICI Pru Midcap Fund - Regular - Growth,Equity,High
119094,-1.848,-2.426,19.4071,-4.0755,4.1591,Axis Midcap Fund - Regular - Growth,Equity,High
125498,-1.8366,-2.3094,18.3524,-4.5218,3.6193,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,High
120842,-1.8218,-2.2725,17.8947,-4.0323,3.7734,Kotak Emerging Equity Fund - Regular - Growth,Equity,High
149323,-1.7882,-2.2607,17.7462,-3.0092,4.1995,DSP Midcap Fund - Regular - Growth,Equity,High
148569,-1.7118,-2.1328,17.674,-3.1266,3.9176,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,High
102887,-1.5232,-1.9411,15.7584,-3.1271,3.2386,UTI Flexi Cap Fund - Regular - Growth,Equity,Moderately High
148568,-1.4711,-1.8765,15.4291,-2.6127,3.1415,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Moderately High
125497,-1.4592,-1.831,14.6689,-3.1505,2.8407,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Moderate
120843,-1.4508,-1.8381,15.887,-2.9748,3.3554,Kotak Flexicap Fund - Regular - Growth,Equity,Moderately High
149322,-1.4474,-1.8402,14.3538,-3.6676,2.9362,DSP Top 100 Equity Fund - Regular - Growth,Equity,Moderate
120506,-1.4388,-1.9405,15.2305,-3.323,4.3812,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Moderately High
100016,-1.4364,-1.806,14.5481,-2.4744,3.2145,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Moderate
119093,-1.4225,-1.7487,13.9833,-2.9496,3.0558,Axis Bluechip Fund - Direct - Growth,Equity,Moderate
118632,-1.3954,-1.7619,14.1484,-2.849,2.8218,Nippon India Large Cap Fund - Regular - Growth,Equity,Moderate
119092,-1.375,-1.7328,13.9507,-2.3383,3.3626,Axis Bluechip Fund - Regular - Growth,Equity,Moderate
120504,-1.3728,-1.7494,14.3638,-2.6317,3.1234,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Moderate
148567,-1.356,-1.7623,14.1937,-2.9451,3.0025,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Moderate
120503,-1.355,-1.7451,13.8844,-2.59,2.7064,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Moderate
119552,-1.3501,-1.7336,13.9394,-2.5775,2.9091,SBI Bluechip Fund - Direct Plan - Growth,Equity,Moderate
118633,-1.3443,-1.663,13.9972,-2.5402,3.5913,Nippon India Large Cap Fund - Direct - Growth,Equity,Moderate
101206,-1.3281,-1.744,14.5682,-3.8121,3.3956,ABSL Frontline Equity Fund - Regular - Growth,Equity,Moderate
120841,-1.3141,-1.6363,13.4638,-2.3779,2.858,Kotak Bluechip Fund - Regular - Growth,Equity,Moderate
119551,-1.2846,-1.6397,13.7414,-2.768,3.5096,SBI Bluechip Fund - Regular Plan - Growth,Equity,Moderate
102885,-1.2613,-1.549,12.8366,-2.1104,2.5565,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Moderate
118635,-1.2554,-1.6177,12.9832,-2.5466,3.0547,Nippon India ETF Nifty 50 BeES,Equity,Moderate
119120,-0.3938,-0.5014,3.967,-0.769,0.8163,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Low
118636,-0.3804,-0.4919,3.9856,-0.8883,0.7708,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Low
100025,-0.3793,-0.4994,3.9052,-0.8188,0.8837,HDFC Short Term Debt Fund - Regular - Growth,Debt,Low
120844,-0.0285,-0.0411,0.5133,-0.0704,0.1254,Kotak Liquid Fund - Regular - Growth,Debt,Low
101208,-0.0269,-0.0422,0.5064,-0.0766,0.1247,ABSL Liquid Fund - Regular - Growth,Debt,Low
120507,-0.0222,-0.0373,0.4939,-0.0666,0.1197,ICICI Pru Liquid Fund - Regular - Growth,Debt,Low
