amfi_code,scheme_name,current_nav,mu_daily_pct,sigma_daily_pct,nav_p05_5yr,nav_p50_5yr,nav_p95_5yr,cagr_median_pct,upside_pct,downside_pct
120505,ICICI Pru Midcap Fund - Regular - Growth,473.764,0.1087,1.214,979.4,1866.05,3788.92,31.54,699.75,106.73
119598,SBI Small Cap Fund - Regular Plan - Growth,309.205,0.1075,1.5812,518.5,1200.57,3020.0,31.17,876.7,67.69
149324,DSP Small Cap Fund - Regular - Growth,279.7511,0.1071,1.563,471.32,1080.81,2689.98,31.04,861.56,68.48
148569,Mirae Asset Tax Saver Fund - Regular - Growth,97.7435,0.1062,1.1121,206.56,372.83,713.32,30.7,629.79,111.33
148567,Mirae Asset Large Cap Fund - Regular - Growth,230.2708,0.1033,0.8935,527.18,847.26,1426.96,29.76,519.69,128.94
120843,Kotak Flexicap Fund - Regular - Growth,163.2397,0.1031,0.9992,352.5,599.22,1073.38,29.7,557.55,115.94
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,342.0072,0.1008,1.1919,647.78,1219.79,2444.96,28.96,614.89,89.4
149323,DSP Midcap Fund - Regular - Growth,245.3651,0.0992,1.1175,473.79,857.6,1645.95,28.44,570.81,93.1
119094,Axis Midcap Fund - Regular - Growth,203.8581,0.0952,1.2211,354.03,677.06,1380.39,27.13,577.13,73.67
119551,SBI Bluechip Fund - Regular Plan - Growth,149.3216,0.0879,0.8646,285.84,452.39,749.16,24.82,401.71,91.43
118632,Nippon India Large Cap Fund - Regular - Growth,110.5554,0.0825,0.8907,195.05,313.0,526.26,23.14,376.02,76.43
101206,ABSL Frontline Equity Fund - Regular - Growth,773.2939,0.0809,0.9168,1319.0,2146.17,3663.93,22.65,373.81,70.57
120504,ICICI Pru Bluechip Fund - Direct - Growth,151.1311,0.0802,0.9039,257.09,415.47,703.97,22.42,365.8,70.11
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,205.451,0.0778,0.971,327.13,547.84,965.35,21.67,369.87,59.23
119552,SBI Bluechip Fund - Direct Plan - Growth,137.7323,0.0746,0.8775,221.59,353.1,589.13,20.72,327.74,60.88
125497,HDFC Top 100 Fund - Direct Plan - Growth,1204.9571,0.0667,0.9235,1710.89,2793.72,4788.05,18.32,297.36,41.99
120503,ICICI Pru Bluechip Fund - Regular - Growth,118.1496,0.0659,0.8741,170.59,271.35,451.85,18.09,282.44,44.38
102885,UTI Nifty 50 Index Fund - Regular - Growth,187.7797,0.0641,0.8079,274.55,421.63,675.52,17.56,259.74,46.21
120506,ICICI Pru Value Discovery Fund - Regular - Growth,404.4207,0.0604,0.9588,520.76,866.46,1515.95,16.46,274.84,28.77
102887,UTI Flexi Cap Fund - Regular - Growth,378.9657,0.0596,0.9917,474.76,803.83,1433.59,16.23,278.29,25.28
118634,Nippon India Small Cap Fund - Regular - Growth,134.6683,0.0581,1.5899,120.51,280.34,708.79,15.79,426.32,-10.51
118633,Nippon India Large Cap Fund - Direct - Growth,91.601,0.0577,0.8806,118.89,189.77,317.2,15.68,246.29,29.79
118635,Nippon India ETF Nifty 50 BeES,326.7508,0.0567,0.8174,432.8,668.03,1076.23,15.38,229.37,32.45
120841,Kotak Bluechip Fund - Regular - Growth,482.127,0.0486,0.8476,567.54,890.16,1459.57,13.05,202.73,17.72
149322,DSP Top 100 Equity Fund - Regular - Growth,606.2349,0.0481,0.904,688.54,1112.77,1885.61,12.92,211.04,13.58
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,188.3619,0.041,1.156,171.11,316.12,620.51,10.91,229.42,-9.16
101207,ABSL Small Cap Fund - Regular - Growth,53.9836,0.0293,1.6246,32.99,78.17,201.68,7.69,273.6,-38.89
119093,Axis Bluechip Fund - Direct - Growth,58.4203,0.0291,0.8806,52.86,84.38,141.04,7.63,141.42,-9.52
120507,ICICI Pru Liquid Fund - Regular - Growth,388.5939,0.0268,0.0311,535.49,544.41,554.38,6.98,42.66,37.8
120844,Kotak Liquid Fund - Regular - Growth,4268.5497,0.0256,0.0323,5793.61,5893.92,6006.13,6.67,40.71,35.73
120842,Kotak Emerging Equity Fund - Regular - Growth,82.6457,0.0248,1.1274,62.18,113.14,218.41,6.48,164.27,-24.76
101208,ABSL Liquid Fund - Regular - Growth,410.1021,0.0241,0.0319,546.62,555.95,566.4,6.27,38.11,33.29
119092,Axis Bluechip Fund - Regular - Growth,50.8387,0.0236,0.8784,42.99,68.54,114.41,6.16,125.05,-15.44
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,54.2038,0.0219,0.2498,62.58,71.46,82.67,5.68,52.52,15.45
118636,Nippon India Gilt Securities Fund - Regular - Growth,37.8243,0.0198,0.251,42.51,48.58,56.24,5.13,48.68,12.4
100025,HDFC Short Term Debt Fund - Regular - Growth,31.8843,0.0167,0.246,34.54,39.36,45.44,4.3,42.5,8.34
100016,HDFC Top 100 Fund - Regular Plan - Growth,583.6113,0.01,0.9159,407.24,662.31,1130.11,2.56,93.64,-30.22
119599,SBI Small Cap Fund - Direct Plan - Growth,105.4849,0.0078,1.5721,50.58,116.54,291.61,2.01,176.44,-52.05
119095,Axis Small Cap Fund - Regular - Growth,56.1319,0.0058,1.5789,26.15,60.47,151.91,1.5,170.62,-53.42
102886,UTI Mid Cap Fund - Regular - Growth,125.564,0.0045,1.1425,72.49,132.98,258.97,1.15,106.25,-42.27
