File,Rows,Columns,Average Null %,Duplicate Rows,High Null Columns
01_fund_master.csv,40,15,0.0,0,-
02_nav_history.csv,46000,3,0.0,0,-
03_aum_by_fund_house.csv,90,5,0.0,0,-
04_monthly_sip_inflows.csv,48,6,2.08,0,yoy_growth_pct
05_category_inflows.csv,144,3,0.0,0,-
06_industry_folio_count.csv,21,6,0.0,0,-
07_scheme_performance.csv,40,19,0.0,0,-
08_investor_transactions.csv,32778,13,0.0,0,-
09_portfolio_holdings.csv,322,8,0.0,0,-
10_benchmark_indices.csv,8050,3,0.0,0,-
nav_118632_Nippon_LargeCap_Direct.csv,3298,2,0.0,0,-
nav_119092_Axis_Bluechip_Direct.csv,3565,2,0.0,0,-
nav_119551_SBI_Bluechip_Direct.csv,3236,2,0.0,0,-
nav_120503_ICICI_Bluechip_Direct.csv,3307,2,0.0,0,-
nav_120841_Kotak_Bluechip_Direct.csv,3301,2,0.0,0,-
nav_125497_HDFC_Top100_Direct.csv,3091,2,0.0,0,-
