amfi_code,cagr_1yr,cagr_3yr,cagr_5yr,scheme_name,fund_house,category
119094,21.3268,33.618,27.076,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity
148567,19.5123,32.5599,29.712,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity
120504,12.5356,31.1177,22.372,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity
100033,50.7565,31.0748,28.8994,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity
120505,28.3282,30.441,31.4811,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity
119551,57.5685,29.1815,24.7726,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
120843,25.5198,28.3481,29.6483,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity
148569,37.9778,27.9628,30.6432,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity
101206,45.73,27.7613,22.6048,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity
149324,62.0071,25.8839,30.9658,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity
149323,20.5823,25.7594,28.3816,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity
119598,78.6168,25.5684,31.0957,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
102887,13.0323,24.505,16.1903,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity
118632,32.4934,21.7307,23.0938,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity
118633,24.4548,20.237,15.6468,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity
119093,18.945,19.9757,7.6036,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity
118635,21.5483,19.2023,15.3428,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity
102885,19.3662,18.8762,17.5239,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity
125497,27.4431,17.6965,18.2765,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity
120506,39.9404,17.6846,16.424,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity
149322,17.3631,17.323,12.883,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity
120841,16.1452,16.5792,13.0163,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity
119552,5.4824,15.6218,20.677,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity
148568,13.6891,14.1663,21.6272,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity
120503,8.1522,13.4288,18.0538,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity
125498,14.8127,10.8081,10.875,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity
118634,15.1642,7.701,15.7419,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity
120842,21.5567,7.4591,6.4535,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity
120507,7.1318,7.1116,6.969,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt
120844,6.8395,6.4408,6.659,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt
101208,6.9511,6.0755,6.2683,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt
119120,5.3057,5.6187,5.6722,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt
118636,10.0365,3.9092,5.1213,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt
100025,3.5611,3.769,4.2948,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt
100016,-2.1403,1.2446,2.5412,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
119092,1.5472,0.5064,6.1326,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity
102886,-16.2114,-0.7392,1.1295,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity
119599,13.3813,-1.2883,1.98,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity
101207,-23.1862,-4.0021,7.6433,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity
119095,-41.565,-11.2988,1.4665,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity
