amfi_code,scheme_name,fund_house,category,sub_category,cagr_3yr,sharpe_ratio,alpha_annual,beta,max_drawdown_pct,expense_ratio_pct,score_cagr3yr,score_sharpe,score_alpha,score_exp_ratio,score_drawdown,composite_score,overall_rank
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Large Cap,0.5064,0.0483,689.9429,0.0097,-14.4016,1.64,89.74,79.49,74.36,98.72,64.1,82.88,1
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,1.2446,-0.1971,374.7458,-0.0583,-24.7344,1.55,87.18,89.74,97.44,79.49,15.38,81.54,2
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Mid Cap,-0.7392,-0.2037,289.6827,-0.0421,-28.0011,1.51,92.31,92.31,100.0,60.26,12.82,81.09,3
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Short Duration,3.769,-0.5433,428.2213,0.0012,-4.3083,0.56,84.62,100.0,94.87,2.56,92.31,78.97,4
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Liquid,6.0755,-0.4438,608.6215,0.0003,-0.1622,0.79,76.92,97.44,82.05,25.64,94.87,77.18,5
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Small Cap,-11.2988,-0.0717,480.1403,-0.0669,-51.6778,1.38,100.0,84.62,92.31,41.03,2.56,76.03,6
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Gilt,5.6187,-0.1865,562.0556,-0.0064,-4.3287,0.77,79.49,87.18,84.62,20.51,89.74,74.62,7
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Gilt,3.9092,-0.3239,507.4493,0.0013,-8.3164,0.55,82.05,94.87,87.18,0.0,87.18,74.49,8
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap,-4.0021,0.1855,1089.6955,-0.0653,-35.4469,1.53,97.44,71.79,66.67,70.51,5.13,71.6,9
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Small Cap,-1.2883,-0.052,488.2354,0.062,-52.5742,0.72,94.87,82.05,89.74,11.54,0.0,68.65,10
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Mid Cap,7.4591,0.0936,780.4407,0.0181,-24.0035,1.56,69.23,76.92,71.79,82.05,17.95,68.46,11
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Liquid,6.4408,0.3242,645.5304,-0.0004,-0.1163,0.6,74.36,69.23,79.49,5.13,97.44,66.03,12
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Large Cap,16.5792,0.5612,1304.2892,0.0364,-17.5736,1.59,53.85,58.97,61.54,87.18,41.03,60.39,13
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Large Cap,17.323,0.5268,1317.3522,-0.004,-14.8446,1.54,51.28,61.54,58.97,75.64,61.54,60.06,14
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Liquid,7.1116,0.9648,674.584,-0.0004,-0.0977,0.74,71.79,38.46,76.92,15.38,100.0,58.84,15
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Small Cap,7.701,0.5149,1750.0858,0.1035,-23.3449,1.53,66.67,64.1,43.59,70.51,20.51,57.37,16
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Mid Cap,10.8081,0.3414,1198.8899,0.0091,-21.1173,0.78,64.1,66.67,64.1,23.08,28.21,55.0,17
