amfi_code,max_drawdown_pct,drawdown_start,drawdown_trough,drawdown_recovery,scheme_name,fund_house,category,dd_rank
119599,-52.5742,2023-01-17,2025-10-28,Not recovered,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,40
119095,-51.6778,2025-05-22,2026-05-11,Not recovered,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,39
101207,-35.4469,2024-11-21,2026-05-11,Not recovered,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,38
149324,-31.1719,2024-05-03,2025-01-03,2025-06-13,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,37
119598,-28.706,2024-08-28,2025-05-14,2025-09-29,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,36
102886,-28.0011,2025-01-07,2026-04-27,Not recovered,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,35
100016,-24.7344,2022-03-30,2022-09-15,2023-03-14,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,34
120842,-24.0035,2023-11-09,2024-10-17,2025-10-14,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,33
118634,-23.3449,2025-04-09,2026-02-20,2026-04-15,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,32
119093,-21.7514,2022-02-24,2023-05-22,2023-12-26,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,31
102887,-21.5398,2022-01-03,2022-07-04,2023-03-16,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,30
125498,-21.1173,2025-04-04,2025-09-12,2026-02-18,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,29
119094,-20.9609,2022-04-14,2022-08-11,2023-01-17,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,28
120506,-19.8257,2023-03-31,2023-08-14,2024-01-11,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,27
118633,-18.6297,2023-10-30,2024-02-29,2024-07-26,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,26
120505,-18.1885,2024-10-24,2025-01-23,2025-03-07,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,25
120841,-17.5736,2024-01-09,2025-02-14,2025-12-04,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,24
118632,-17.4141,2024-01-02,2024-07-19,2025-05-21,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,23
149323,-17.2481,2022-06-06,2022-10-24,2022-12-20,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,22
148569,-16.3967,2023-08-10,2023-10-20,2024-04-10,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,21
100033,-16.2172,2022-03-11,2022-05-12,2022-07-27,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,20
148568,-15.2726,2023-09-05,2024-01-24,2024-04-25,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,19
