amfi_code,trading_days,mean_daily_return,std_daily_return,ann_return,ann_return_pct
100016,1149,0.000142,0.009164,0.025435,2.54
100025,1149,0.00017,0.00246,0.042987,4.3
100033,1149,0.00108,0.011929,0.289279,28.93
101206,1149,0.000852,0.009177,0.226265,22.63
101207,1149,0.000424,0.016251,0.076502,7.65
101208,1149,0.000242,0.000319,0.062739,6.27
102885,1149,0.000674,0.008086,0.175404,17.54
102886,1149,0.00011,0.011424,0.011304,1.13
102887,1149,0.000645,0.009927,0.162055,16.21
118632,1149,0.000865,0.008913,0.231161,23.12
118633,1149,0.000616,0.008817,0.156614,15.66
118634,1149,0.000707,0.015901,0.157567,15.76
118635,1149,0.0006,0.008179,0.153571,15.36
118636,1149,0.000202,0.002511,0.051259,5.13
119092,1149,0.000275,0.008788,0.061381,6.14
119093,1149,0.00033,0.008809,0.076105,7.61
119094,1149,0.001027,0.012225,0.271025,27.1
119095,1149,0.000182,0.01579,0.014678,1.47
119120,1149,0.000222,0.002499,0.056773,5.68
119551,1149,0.000917,0.008656,0.247966,24.8
119552,1149,0.000785,0.008781,0.206968,20.7
119598,1149,0.001201,0.015837,0.311266,31.13
119599,1149,0.000201,0.015717,0.019818,1.98
120503,1149,0.000698,0.008746,0.180708,18.07
120504,1149,0.000843,0.009048,0.223935,22.39
120505,1149,0.001161,0.012152,0.315124,31.51
120506,1149,0.00065,0.009594,0.164394,16.44
120507,1149,0.000268,0.000311,0.069752,6.98
120841,1149,0.000522,0.008481,0.130283,13.03
120842,1149,0.000312,0.011273,0.064593,6.46
120843,1149,0.001082,0.010008,0.296776,29.68
120844,1149,0.000256,0.000323,0.06665,6.67
125497,1149,0.00071,0.009241,0.182938,18.29
125498,1149,0.000477,0.011561,0.108849,10.88
148567,1149,0.001074,0.008941,0.297414,29.74
148568,1149,0.000825,0.009719,0.21648,21.65
148569,1149,0.001124,0.011134,0.306736,30.67
149322,1149,0.000522,0.009042,0.128949,12.89
149323,1149,0.001055,0.011179,0.284096,28.41
149324,1149,0.001194,0.015648,0.309965,31.0
