month,avg_nav,nav_records
2022-01,207.06,840
2022-02,207.72,800
2022-03,209.69,920
2022-04,211.83,840
2022-05,212.73,880
2022-06,213.86,880
2022-07,213.96,840
2022-08,215.68,920
2022-09,218.49,880
2022-10,219.53,840
2022-11,223.47,880
2022-12,226.76,880
2023-01,230.67,880
2023-02,233.85,800
2023-03,238.01,920
2023-04,240.61,800
2023-05,241.89,920
2023-06,244.61,880
2023-07,245.78,840
2023-08,247.73,920
2023-09,251.83,840
2023-10,255.61,880
2023-11,258.35,880
2023-12,262.02,840
2024-01,264.62,920
2024-02,266.33,840
2024-03,269.6,840
2024-04,271.3,880
2024-05,273.45,920
2024-06,275.47,800
2024-07,279.02,920
2024-08,279.74,880
2024-09,281.02,840
2024-10,282.13,920
2024-11,285.24,840
2024-12,285.27,880
2025-01,288.04,920
2025-02,291.74,800
2025-03,296.16,840
2025-04,299.41,880
2025-05,303.94,880
2025-06,306.88,840
2025-07,309.73,920
2025-08,313.18,840
2025-09,316.13,880
2025-10,321.45,920
2025-11,325.68,800
2025-12,331.73,920
2026-01,337.12,880
2026-02,342.08,800
2026-03,347.19,880
2026-04,355.03,880
2026-05,357.04,840
