state,num_transactions,total_amount_rs,avg_amount_rs,unique_investors
Tamil Nadu,1100,126020641.0,114564.22,381
Madhya Pradesh,1137,124230586.0,109261.73,380
West Bengal,1130,121974095.0,107941.68,375
Punjab,1164,121295845.0,104206.05,394
Uttar Pradesh,1076,119497728.0,111057.37,369
Gujarat,1113,117945641.0,105970.93,371
Delhi,1083,116939568.0,107977.44,367
Rajasthan,1010,114352455.0,113220.25,356
Karnataka,1057,113816812.0,107679.1,338
Haryana,1096,112280777.0,102445.96,363
Telangana,1092,111713771.0,102301.99,363
Maharashtra,990,101346271.0,102369.97,335
