amfi_code,scheme_name,fund_house,category,expense_ratio_pct,return_1yr_pct
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,0.55,619.0
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,0.56,683.0
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,0.6,426.0
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.66,1525.0
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.72,2059.0
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,0.72,1442.0
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,0.74,889.0
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,0.75,1395.0
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,0.77,534.0
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,0.78,1998.0
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,0.79,618.0
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,0.8,1412.0
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,0.89,1014.0
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,0.92,1148.0
