fund_house,month,aum_crore,num_schemes
Aditya Birla Sun Life MF,2022-03,278000.0,199
Aditya Birla Sun Life MF,2022-09,285000.0,199
Aditya Birla Sun Life MF,2023-03,275000.0,199
Aditya Birla Sun Life MF,2023-09,308000.0,199
Aditya Birla Sun Life MF,2024-03,340000.0,199
Aditya Birla Sun Life MF,2024-09,362000.0,199
Aditya Birla Sun Life MF,2024-12,384000.0,199
Aditya Birla Sun Life MF,2025-03,385000.0,199
Aditya Birla Sun Life MF,2025-12,460000.0,199
Axis Mutual Fund,2022-03,250000.0,95
Axis Mutual Fund,2022-09,240000.0,95
Axis Mutual Fund,2023-03,241000.0,95
Axis Mutual Fund,2023-09,260000.0,95
Axis Mutual Fund,2024-03,280000.0,95
Axis Mutual Fund,2024-09,290000.0,95
Axis Mutual Fund,2024-12,300000.0,95
Axis Mutual Fund,2025-03,310000.0,95
Axis Mutual Fund,2025-12,350000.0,95
DSP Mutual Fund,2022-03,110000.0,88
DSP Mutual Fund,2022-09,112000.0,88
DSP Mutual Fund,2023-03,115000.0,88
DSP Mutual Fund,2023-09,132000.0,88
DSP Mutual Fund,2024-03,155000.0,88
DSP Mutual Fund,2024-09,172000.0,88
DSP Mutual Fund,2024-12,188000.0,88
DSP Mutual Fund,2025-03,195000.0,88
DSP Mutual Fund,2025-12,230000.0,88
HDFC Mutual Fund,2022-03,435000.0,195
HDFC Mutual Fund,2022-09,445000.0,195
HDFC Mutual Fund,2023-03,450000.0,195
HDFC Mutual Fund,2023-09,535000.0,195
HDFC Mutual Fund,2024-03,645000.0,195
HDFC Mutual Fund,2024-09,710000.0,195
HDFC Mutual Fund,2024-12,787000.0,195
HDFC Mutual Fund,2025-03,795000.0,195
HDFC Mutual Fund,2025-12,930000.0,195
ICICI Prudential MF,2022-03,465000.0,216
ICICI Prudential MF,2022-09,488000.0,216
ICICI Prudential MF,2023-03,500000.0,216
ICICI Prudential MF,2023-09,590000.0,216
ICICI Prudential MF,2024-03,680000.0,216
ICICI Prudential MF,2024-09,742000.0,216
ICICI Prudential MF,2024-12,874000.0,216
ICICI Prudential MF,2025-03,880000.0,216
ICICI Prudential MF,2025-12,1074000.0,216
Kotak Mahindra MF,2022-03,270000.0,168
Kotak Mahindra MF,2022-09,272000.0,168
Kotak Mahindra MF,2023-03,289000.0,168
Kotak Mahindra MF,2023-09,325000.0,168
Kotak Mahindra MF,2024-03,380000.0,168
Kotak Mahindra MF,2024-09,405000.0,168
Kotak Mahindra MF,2024-12,489000.0,168
Kotak Mahindra MF,2025-03,492000.0,168
Kotak Mahindra MF,2025-12,580000.0,168
Mirae Asset MF,2022-03,105000.0,56
Mirae Asset MF,2022-09,108000.0,56
Mirae Asset MF,2023-03,116000.0,56
Mirae Asset MF,2023-09,142000.0,56
Mirae Asset MF,2024-03,175000.0,56
Mirae Asset MF,2024-09,190000.0,56
Mirae Asset MF,2024-12,210000.0,56
Mirae Asset MF,2025-03,225000.0,56
Mirae Asset MF,2025-12,290000.0,56
Nippon India MF,2022-03,270000.0,177
Nippon India MF,2022-09,278000.0,177
Nippon India MF,2023-03,293000.0,177
Nippon India MF,2023-09,340000.0,177
Nippon India MF,2024-03,430000.0,177
Nippon India MF,2024-09,468000.0,177
Nippon India MF,2024-12,570000.0,177
Nippon India MF,2025-03,560000.0,177
Nippon India MF,2025-12,700000.0,177
SBI Mutual Fund,2022-03,605000.0,186
SBI Mutual Fund,2022-09,630000.0,186
SBI Mutual Fund,2023-03,717000.0,186
SBI Mutual Fund,2023-09,845000.0,186
SBI Mutual Fund,2024-03,1000000.0,186
SBI Mutual Fund,2024-09,1080000.0,186
SBI Mutual Fund,2024-12,1114000.0,186
SBI Mutual Fund,2025-03,1250000.0,186
SBI Mutual Fund,2025-12,1250000.0,186
UTI Mutual Fund,2022-03,230000.0,142
UTI Mutual Fund,2022-09,232000.0,142
UTI Mutual Fund,2023-03,239000.0,142
UTI Mutual Fund,2023-09,265000.0,142
UTI Mutual Fund,2024-03,290000.0,142
UTI Mutual Fund,2024-09,308000.0,142
UTI Mutual Fund,2024-12,352000.0,142
UTI Mutual Fund,2025-03,355000.0,142
UTI Mutual Fund,2025-12,410000.0,142
